,species,possible_values
0,Chimpanzee,0.31472271552545616
1,Chimpanzee,0.2958542993380946
2,Chimpanzee,0.27860614321137833
3,Chimpanzee,0.26265175005126673
4,Chimpanzee,0.24683675785735276
5,Chimpanzee,0.23032791220821108
6,Chimpanzee,0.21319869100299524
7,Chimpanzee,0.195204239141536
8,Chimpanzee,0.17596438020217295
9,Chimpanzee,0.15696765055991407
10,Chimpanzee,0.13957468578705573
11,Chimpanzee,0.12346774997718041
12,Chimpanzee,0.10791297397896368
13,Chimpanzee,0.8685413033805787
14,Chimpanzee,0.8617933903608912
15,Chimpanzee,0.8549448379327627
16,Chimpanzee,0.8480158231480066
17,Chimpanzee,0.8410064847572628
18,Chimpanzee,0.8339337757534573
19,Chimpanzee,0.826815465640308
20,Chimpanzee,0.8196653718311634
21,Chimpanzee,0.8124986510067618
22,Chimpanzee,0.8053352997763636
23,Chimpanzee,0.7981988430752089
24,Chimpanzee,0.7911251969867346
25,Chimpanzee,0.7841813162983133
26,Chimpanzee,0.3037055702865944
27,Chimpanzee,0.2853334208081403
28,Chimpanzee,0.2672321339276421
29,Chimpanzee,0.24922528388197251
30,Chimpanzee,0.2313152457586407
31,Chimpanzee,0.21359706981971907
32,Chimpanzee,0.19588720631227546
33,Chimpanzee,0.17797629758933245
34,Chimpanzee,0.15984500797991194
35,Chimpanzee,0.1420548848816294
36,Chimpanzee,0.12495769631660628
37,Chimpanzee,0.10922779581310352
38,Chimpanzee,0.0953151944997758
39,Chimpanzee,0.3037055702865944
40,Chimpanzee,0.2853334208081403
41,Chimpanzee,0.2672321339276421
42,Chimpanzee,0.24922528388197251
43,Chimpanzee,0.2313152457586407
44,Chimpanzee,0.21359706981971907
45,Chimpanzee,0.19588720631227546
46,Chimpanzee,0.17797629758933245
47,Chimpanzee,0.15984500797991194
48,Chimpanzee,0.1420548848816294
49,Chimpanzee,0.12495769631660628
50,Chimpanzee,0.10922779581310352
51,Chimpanzee,0.0953151944997758
52,Chimpanzee,0.3037055858131311
53,Chimpanzee,0.2853334401699814
54,Chimpanzee,0.26723215739672385
55,Chimpanzee,0.24922531179126006
56,Chimpanzee,0.23131527855918382
57,Chimpanzee,0.21359710807682014
58,Chimpanzee,0.19588725066600904
59,Chimpanzee,0.17797634874815402
